"..\APP\../LIB/STD_TYPES.h", line 12: warning #1376-D: (MISRA-C:2004 1.1/R) Ensure strict ANSI C mode (-ps) is enabled
"../calculator.c", line 130: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../calculator.c", line 131: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../calculator.c", line 133: warning #1497-D: (MISRA-C:2004 5.7/A) No identifier name should be reused ("Last_u8Index")
"../calculator.c", line 133: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../calculator.c", line 134: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../calculator.c", line 134: warning #1487-D: (MISRA-C:2004 12.2/R) The value of an expression shall be the same under any order of evaluation that the standard permits
"../calculator.c", line 137: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../calculator.c", line 138: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../calculator.c", line 144: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../calculator.c", line 146: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../calculator.c", line 149: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../calculator.c", line 155: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../calculator.c", line 158: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../calculator.c", line 163: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../calculator.c", line 164: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../calculator.c", line 165: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 20: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 21: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 23: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 24: warning #1498-D: (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types
"../HAL/KEYPAD/keypad_program.c", line 24: warning #1400-D: (MISRA-C:2004 11.3/A) A cast should not be performed between a pointer type and an integral type
"../HAL/KEYPAD/keypad_program.c", line 24: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 25: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 26: warning #1498-D: (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types
"../HAL/KEYPAD/keypad_program.c", line 26: warning #1400-D: (MISRA-C:2004 11.3/A) A cast should not be performed between a pointer type and an integral type
"../HAL/KEYPAD/keypad_program.c", line 26: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 28: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 29: warning #1498-D: (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types
"../HAL/KEYPAD/keypad_program.c", line 29: warning #1400-D: (MISRA-C:2004 11.3/A) A cast should not be performed between a pointer type and an integral type
"../HAL/KEYPAD/keypad_program.c", line 29: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 30: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 31: warning #1498-D: (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types
"../HAL/KEYPAD/keypad_program.c", line 31: warning #1400-D: (MISRA-C:2004 11.3/A) A cast should not be performed between a pointer type and an integral type
"../HAL/KEYPAD/keypad_program.c", line 31: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 34: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 35: warning #1498-D: (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types
"../HAL/KEYPAD/keypad_program.c", line 35: warning #1400-D: (MISRA-C:2004 11.3/A) A cast should not be performed between a pointer type and an integral type
"../HAL/KEYPAD/keypad_program.c", line 35: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 38: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 39: warning #1498-D: (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types
"../HAL/KEYPAD/keypad_program.c", line 39: warning #1400-D: (MISRA-C:2004 11.3/A) A cast should not be performed between a pointer type and an integral type
"../HAL/KEYPAD/keypad_program.c", line 39: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 40: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 41: warning #1498-D: (MISRA-C:2004 6.3/A) typedefs that indicate size and signedness should be used in place of the basic numerical types
"../HAL/KEYPAD/keypad_program.c", line 41: warning #1400-D: (MISRA-C:2004 11.3/A) A cast should not be performed between a pointer type and an integral type
"../HAL/KEYPAD/keypad_program.c", line 41: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 48: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 52: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 52: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 52: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 53: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 53: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 53: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 54: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 54: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 54: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 55: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 55: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 55: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 59: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 59: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 59: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 59: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 64: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 64: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 64: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 64: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 66: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 66: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 68: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 69: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 69: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 71: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 72: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 72: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 75: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 76: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 79: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if it is not a conversion to a wider integer type of the same signedness
"../HAL/KEYPAD/keypad_program.c", line 81: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 84: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 85: warning #1455-D: (MISRA-C:2004 2.2/R) Source code shall only use /* ... */ style comments
"../HAL/KEYPAD/keypad_program.c", line 90: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 90: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 94: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 94: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 94: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 95: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 95: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 95: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 96: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 96: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 96: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 97: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
"../HAL/KEYPAD/keypad_program.c", line 97: warning #1393-D: (MISRA-C:2004 10.1/R) The value of an expression of integer type shall not be implicitly converted to a different underlying type if the expression is not constant and is a function argument
